ID,logFC,AveExpr,t,P.Value,adj.P.Val,B
PC(28:0),-1.06526547644812,7.68482499857726e-16,-2.74675649967486,0.00911739126633444,0.0552923620425538,-3.00763644591122
Theobromine,-0.888102093645253,9.37690318910297e-16,-2.7437471541655,0.00918729796133897,0.0552923620425538,-3.01451293215598
SM (d38:1) [M+H]+,1.02982501288771,1.91665260051987e-15,2.73332291743294,0.00943331304688603,0.0562568487159749,-3.03829412685951
Methylenesuccinic Acid,-1.13805480247433,4.64905891561784e-16,-2.71361720328551,0.00991513155638661,0.0581289766551096,-3.08308486907952
LysoPC(18:2),1.22981821888073,-7.35233633234837e-16,2.71324452938576,0.00992445942892115,0.0581289766551096,-3.0839298663882
Oxalic Acid,0.947510506611224,-8.20003787094237e-15,2.70912523571675,0.0100281061582986,0.0582162622995034,-3.0932647430483
PC(36:3),-1.06417941358887,3.56398938139435e-15,-2.69086031652541,0.0104998535854183,0.060420210105565,-3.13454088807517
Octanoylcarnitine,1.10160940954736,-2.15799600411515e-15,2.68264512482574,0.010718654739703,0.0611429348630012,-3.15304480360927
PC(34:2),0.895252875083941,-4.04768811061255e-18,2.65317825573407,0.0115385787107302,0.064854921954737,-3.21910086159475
Ergocalciferol (Vit D2),1.00391238217279,0.00266913169892145,2.64593831874503,0.011748697659124,0.064854921954737,-3.23525475768381
Galactaric Acid,-0.990920193678798,-3.2809403342308e-15,-2.64162464127283,0.0118755610384869,0.064854921954737,-3.24486520472072
LPA(18:2),-1.01959735117681,0.00270229770943241,-2.63898272545935,0.011953880683254,0.064854921954737,-3.25074584205626
SM (d40:1) [M+H]+,0.955321765492898,5.0538277266791e-16,2.63571923386087,0.0120512838658895,0.064854921954737,-3.25800448835493
PE (34:1) [M-H]-,0.921015432496819,-4.70110061989715e-16,2.63557099021205,0.0120557257020568,0.064854921954737,-3.25833406541937
N-Oleoyl Dopamine (OLDA),1.02760786303099,1.50755149827773e-15,2.63467443399408,0.012082621440218,0.064854921954737,-3.26032702956453
5'-Methylthioadenosine (MTA),1.01670349209021,-6.40438223287187e-16,2.63209540995689,0.0121602978665132,0.064854921954737,-3.26605737984368
Quinic Acid,-0.864324173527953,8.9627379592135e-18,-2.62836990388003,0.0122733167866818,0.064929804935994,-3.27432831497781
PE(16:0),-1.0510136261504,-4.23476719547492e-15,-2.62164908949697,0.0124796519666171,0.0654932135208066,-3.28922874894927
PE (36:1) [M+H]+,-0.966916250610719,-2.79832580718509e-16,-2.60457933414364,0.0130181397297072,0.0677769814499043,-3.3269553049061
SM (d40:2) [M+H]+,0.917239772702939,6.30622579618952e-15,2.59337186598151,0.0133832226005284,0.0691290868184774,-3.35163279017242
Citrulline,-1.03312390525754,2.34245493372735e-15,-2.5770150355006,0.0139329419072835,0.0708542291944736,-3.38751600940069
FA (28:0) [M-H]-,1.11771676723827,1.81565916815285e-14,2.57675877042149,0.0139417169567663,0.0708542291944736,-3.38807694127281
Decenoylcarnitine,0.995149499414202,-2.48846082628873e-15,2.57386278654058,0.0140412344440268,0.0708542291944736,-3.39441318309563
"PI(16:0/16:2(9Z,12Z))",0.939459905334764,-7.42461647718073e-16,2.56591198328862,0.0143178146473002,0.0716983695315184,-3.41178351734861
Lysophosphatidic Acid,1.05579085429196,3.60981499321807e-15,2.55574013009657,0.0146789374645941,0.0728884919145236,-3.43395146133657
SAICAR-riboside,-1.20383721717815,1.83880688453542e-16,-2.55299826316984,0.0147776972936458,0.0728884919145236,-3.43991637501892
PC(42:9),-1.0236341433435,-1.39890992308563e-15,-2.53061041101866,0.0156071409473373,0.0757278979094351,-3.48845255197358
Aconitic Acid,-0.917771262353628,-2.69901288818541e-15,-2.52831677675598,0.01569447864813,0.0757278979094351,-3.49340806846355
"PS(18:0/20:3(8Z,11Z,14Z))",0.926611585586941,-5.6896038806246e-15,2.5281803879,0.0156996861519561,0.0757278979094351,-3.49370264377294
Decanoylcarnitine,1.02518729479925,-8.82396008113536e-16,2.5094677526075,0.016429314864954,0.0786688361416775,-3.53401191051003
LysoPC(22:1),-1.02250619095817,-0.0381301842656509,-2.4782380915882,0.0177162183213645,0.0835742037301646,-3.60080962906579
Glucose+Cl,0.84658556358091,0.118605897168221,2.4748742898697,0.0178601757797058,0.0835742037301646,-3.60796886096685
"PS(18:2(9Z,12Z)/22:6(4Z,7Z,10Z,13Z,16Z,19Z))",0.893893699128534,2.93312827729745e-16,2.47381593483485,0.0179056889880644,0.0835742037301646,-3.61021993331096
N-Acetylglycine,1.01048620339436,2.25629700108717e-15,2.47247842756726,0.0179633578139531,0.0835742037301646,-3.61306376202552
Phosphocholine,0.963071031465822,2.50436245815185e-15,2.46292721818645,0.0183801127586284,0.0849109434483115,-3.63333959109379
GlcCer (d42:2) [M+Na]+,0.852417439005693,-1.22413653288097e-15,2.43389711826677,0.0197013496418837,0.0901682435903297,-3.69461877557593
3-Dehydroxycarnitine,0.81378596569,-4.4705269578819e-16,2.43194897813233,0.0197930290808041,0.0901682435903297,-3.69871225182092
5-Hydroxyhexanoic Acid,0.938055065203563,1.08622601654081e-15,2.42796246761789,0.0199818418003273,0.0904006084207913,-3.70708138619035
Glycine,0.793517010177585,2.75821032680312e-16,2.41391856003808,0.0206600881761209,0.092828889339283,-3.73648511907017
Ornithine,-0.884794084123782,2.88079745243882e-15,-2.40018687513454,0.02134335691441,0.095246545141857,-3.76511487011385
LysoPC(22:4),-0.840423649839332,-1.59768032137464e-15,-2.37007781946906,0.0229136219703709,0.101563081165969,-3.82747113079164
PC(30:0),-0.940966649822015,4.46113053905369e-16,-2.35950204641813,0.0234894606099439,0.103416685638411,-3.849236072838
Fumaric Acid,-1.05770447806486,6.32451267283211e-19,-2.35394682948752,0.0237971358093768,0.104072807273008,-3.86063988127868
"PS(20:3(8Z,11Z,14Z)/22:6(4Z,7Z,10Z,13Z,16Z,19Z))",-0.945805455245039,4.87760873357779e-15,-2.33992456775894,0.0245899777863132,0.106827982965705,-3.88933628335641
Cortisol,0.92089418915867,-1.52178616930065e-15,2.33260584899878,0.025013167843272,0.10795156648149,-3.9042633566291
PC(36:4),0.857355677131471,-4.36340778324033e-15,2.31464481619581,0.0260796313953348,0.111818550296337,-3.94074840576058
PE (36:4) [M-H]-,0.788916626497491,1.17917828279523e-15,2.29861493551691,0.0270657386911132,0.114913583873229,-3.97313233705957
PS(14:1(9Z)/14:1(9Z)),-0.841037768784096,-2.14122701051404e-15,-2.2972403338296,0.0271518376529732,0.114913583873229,-3.97590147706641
PC(P-34:3),-0.85937396250733,1.76182853028894e-16,-2.29206368174706,0.0274782889358183,0.115549727832672,-3.98631868635778
SM(d34:0),-0.989708412478571,-1.0842021724855e-15,-2.2830620811164,0.0280543374511257,0.117220671133366,-4.00439087811261
Malondialdehyde,-0.859654890352463,1.28803218091278e-16,-2.27727326262719,0.0284304791634838,0.11804047045092,-4.01598454886542
Hexadecanedioic acid mono-L-carnitine ester,1.06791589495648,1.40675231879994e-16,2.27302663572632,0.0287092778514399,0.11844834132418,-4.02447542986016
TG (53:0) [M+NH4]+,0.970828444815565,3.93203987888076e-16,2.2656602630783,0.029198700945915,0.118859888874833,-4.03917562645342
Linoleyl Carnitine,-0.882183773616521,8.90057703465767e-16,-2.26387884475327,0.0293181735031268,0.118859888874833,-4.04272516684722
"PG(18:0/18:2(9Z,12Z))",-0.849559230976238,-2.40635058175916e-15,-2.26336680827865,0.0293525945087239,0.118859888874833,-4.04374502664158
SM (d34:2) [M+H]+,0.812478128970512,2.75242791521653e-15,2.24673638851264,0.0304903768772277,0.1218555378096,-4.07677379844961
"PS(16:0/20:4(5Z,8Z,11Z,14Z))",0.814763139791088,2.64256209507134e-16,2.24562337033079,0.0305679123655164,0.1218555378096,-4.07897769222476
Orotidine,-0.736402642861079,-4.77627197052281e-16,-2.24445290092461,0.0306496398454025,0.1218555378096,-4.08129444877234
"3,5-Tetradecadiencarnitine",0.858428511063503,-1.15518127471089e-15,2.22875335981595,0.0317648531190782,0.125528576181417,-4.11228012504134
Dodecanoylcarnitine,0.897271251467595,2.26323589499107e-15,2.22147308207364,0.0322941718659106,0.126856148167888,-4.12659256420505
Kynurenine,-0.850869909074598,9.28077059647592e-16,-2.20121195763528,0.0338088446959568,0.132015488812784,-4.16623519651463
N1-Methy4-Pyridone-5-Carboxamide(4-PY),-0.895566370371967,-3.41798348883297e-15,-2.19040825870498,0.0346420423477867,0.13446851940916,-4.18725931926764
PS(14:0/16:1(9Z)),0.924223188646162,9.94574792893369e-17,2.18699181922664,0.0349092909757561,0.134708793412329,-4.19389114646138
Stachyose Hydrate,0.945540437818051,1.57697205988017e-16,2.17490088979017,0.0358698472087608,0.137605963561094,-4.21729720061597
UDP-N-Acetylglucosamine,0.878388638844817,-2.29850860566927e-16,2.16230795467486,0.0368951177698426,0.140716263122191,-4.24156815627916
FA (20:2) [M-H]-,0.963415160985378,-3.55799012937326e-16,2.15454998879698,0.0375395789977272,0.142346611690804,-4.25646595153857
PS(18:0/20:0),-0.875800541078932,-5.90297486816975e-15,-2.147924174944,0.0380978529145884,0.143633284551552,-4.26915665228478
GlcCer (d40:1) [M+Na]+,0.76196326315817,4.64670981091079e-16,2.13940070882623,0.0388268008048673,0.14554503615996,-4.28543718308444
PC(38:4),-0.770613389222864,-1.99522111795266e-15,-2.13181903094288,0.0394855252709956,0.14717332146462,-4.29987632475489
PC(40:9),-0.724818601594134,0.113253186077072,-2.11543191985159,0.0409430740673093,0.151698706573803,-4.33094802788882
PS(18:0/18:0),0.813647008322717,-2.09344983477984e-15,2.11301346110327,0.0411621490398428,0.151698706573803,-4.33551774954309
