Gene,logFC,AveExpr,t,P.Value,adj.P.Val,B
PYGB,0.326031512607219,12.8798511602586,1.55090862694281,0.138278997650468,0.439430947793893,-5.19577398855467
MTPN,0.351444166627155,13.5047750153641,1.54947173392346,0.138622808238794,0.439430947793893,-5.19777854399665
SACM1L,0.426092544912256,14.3290954623012,1.54935607451573,0.138650513509746,0.439430947793893,-5.19793983490829
PLEK,0.437888017030189,18.709245920327,1.54832676772208,0.138897279380654,0.439430947793893,-5.19937483593402
PTGES3,-0.564839760161138,13.0768483685167,-1.547622083,0.139066431823532,0.439430947793893,-5.20035685067542
MAPKAPK2,-0.348705892260042,12.7031235480621,-1.54632611280346,0.139377965415595,0.439430947793893,-5.20216196787572
NTAQ1,-0.297973006030131,13.3836034112376,-1.54610025500032,0.139432318127339,0.439430947793893,-5.20247644098696
FST,0.643969678612613,9.95929061903582,1.54590676847924,0.139478894755358,0.439430947793893,-5.20274581424425
VIM,-0.3347761370549,13.6285590114716,-1.5455138914333,0.139573509197842,0.439430947793893,-5.20329270169661
PRNP,-0.290476323987988,12.5813545906902,-1.54510590241266,0.139671819667067,0.439430947793893,-5.20386051353563
SKAP2,0.330714072500326,12.6470317107404,1.54351426854759,0.140055897987672,0.439855266811817,-5.20607455580154
USP14,0.284993295621282,12.8442015130276,1.54115962095165,0.140625715361075,0.440860368760741,-5.2093468113574
HNRNPUL2,-0.459151840786262,12.0824771948878,-1.53957469326351,0.141010350463128,0.441282391076988,-5.21154724973019
TOMM20,-1.19679645262165,11.2762030073889,-1.53834831057314,0.141308574253576,0.441432979747898,-5.21324872028078
AKR1A1,0.458466731353695,10.4921653087242,1.53698962083078,0.141639585163805,0.441685278823528,-5.21513254830271
SRSF6,-1.24733609817852,11.4824763044088,-1.53417332732321,0.142327762326598,0.443027012000346,-5.21903331480459
NID1,0.478572901385211,11.1731247812224,1.5327214838507,0.142683614634829,0.443027012000346,-5.22104209296137
NIFK,0.285126194256255,14.6338316985398,1.53215414583036,0.142822872423907,0.443027012000346,-5.2218266710346
APOE,-0.224269139844377,21.4430693975078,-1.52965361688038,0.143437996418429,0.443708901921334,-5.22528204154957
PDIA3,0.197933973209739,16.7306147675508,1.52900762137838,0.143597267466712,0.443708901921334,-5.22617401454647
SPON1,-0.291121802736116,14.4621907536734,-1.52803422151056,0.143837538275387,0.443708901921334,-5.22751751560545
F12,-0.238162402798867,24.1875075145272,-1.52569671665999,0.144415885729791,0.443708901921334,-5.23074110713171
